Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KOLDA,VELINGARA,SARE COLI SALLE,BARRICOUNDA,01,359,CLASSE CE1
KOLDA,VELINGARA,SARE COLI SALLE,DJIMINI,01,257,CLASSE CM2
KOLDA,VELINGARA,SARE COLI SALLE,ECOLE MADINA DIAKA,01,185,ECOLE SARE SAMBOU
KOLDA,VELINGARA,SARE COLI SALLE,FOULAMORI YERO,01,485,CLASSE CM2
KOLDA,VELINGARA,SARE COLI SALLE,KANSATANG,01,399,CLASSE CM2
KOLDA,VELINGARA,SARE COLI SALLE,KOPARA,01,576,CLASSE CE2
KOLDA,VELINGARA,SARE COLI SALLE,MBALLOCOUNDA THIERNO,01,276,CLASSE CI
KOLDA,VELINGARA,SARE COLI SALLE,MISSIRA BASSY,01,393,CLASSE CE2
KOLDA,VELINGARA,SARE COLI SALLE,MISSIRA BASSY,02,390,CLASSE CP
KOLDA,VELINGARA,SARE COLI SALLE,SARE BODIO,01,577,CLASSE CE2
KOLDA,VELINGARA,SARE COLI SALLE,SARE COLI SALLE,01,532,CLASSE CE2
KOLDA,VELINGARA,SARE COLI SALLE,SARE COLI SALLE,02,533,CLASSE CE1
KOLDA,VELINGARA,SARE COLI SALLE,SARE SAME BATI,01,563,CLASSE CM2
KOLDA,VELINGARA,SARE COLI SALLE,SARE SAME BATI,02,141,CLASSE CM1
KOLDA,VELINGARA,SARE COLI SALLE,SARE SAVADI,01,286,CLASSE CM1
KOLDA,VELINGARA,SARE COLI SALLE,SARE YEROYEL,01,351,CLASSE CE2
KOLDA,VELINGARA,SARE COLI SALLE,SARE YEROYEL,02,351,CLASSE CM1
KOLDA,VELINGARA,SARE COLI SALLE,SINTHIANG OUINOR 2,01,461,CLASSE CP
KOLDA,VELINGARA,SARE COLI SALLE,TEYEL,01,355,CLASSE CM2
KOLDA,VELINGARA,SARE COLI SALLE,TEYEL,02,356,CLASSE CI
