Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DIOURBEL,BAMBEY,KEUR SAMBA KANE,FASSEL,01,426,CLASSE CP
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GANDAL,01,268,CLASSE CE1
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GANDAL,02,267,ECOLE CLASSE CE2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GAYAME,01,398,CLASSE CM2 A
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GAYAME,02,399,CLASSE CP B
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GOLBY ASSANE,01,281,CLASSE CI
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GOLBY ASSANE,02,281,CLASSE CE2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,GOUYE DOCK,01,182,ABRI PROVISOIRE
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR GAYE SEYE,01,140,ABRI PROVISOIRE
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR KHALY COURA,01,107,ECOLE KEUR KHALY COURA SALLE DE CL
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR LEYE FAMBAYE,01,293,SALLE DE CLASSE CM2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 1,01,561,CLASSE CI A
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 1,02,543,CLASSE CE 2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 1,03,211,CLASSE CM1A
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 2,01,373,CLASSE CI ECOLE KEUR SAMBA KANE 2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 2,02,372,CLASSE CE1 ECOLE KEUR SAMBA KANE 2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIAMSYL PEYE,01,205,CLASSE CM1
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIAMSYL PEYE,02,204,CLASSE CM2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIAMSYL SESSENE,01,120,ABRI PROVISOIRE
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIARAO,01,358,CLASSE CP
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIARAO,02,357,CLASSE CM1
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIARNO RICADJI 1,01,313,CLASSE CM1
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIARNO RICADJI 1,02,312,CLASSE CE2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIAYE DANKHE,01,515,ABRI PROVISOIRE
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIOUDIOUF,01,528,CLASSE CP
DIOURBEL,BAMBEY,KEUR SAMBA KANE,NDIOUDIOUF,02,115,CLASSE CE2
DIOURBEL,BAMBEY,KEUR SAMBA KANE,THIALLE MABOUR,01,245,ABRI PROVISOIRE
