Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,01,541,CLASSE CE2 B
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,02,562,CLASSE CI A
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,03,543,CLASSE CI B
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,04,503,CLASSE CM1
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,05,423,CLASSE CP B
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE DE BADIANENE,01,279,CLASSE CI
KAFFRINE,MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE DE IMINE DINE,01,210,CLASSE CI
KAFFRINE,MALEM HODAR,MALEM HODAR,TAWA KEUR ELHADJI,01,470,ECOLE CLASSE CM1
KAFFRINE,MALEM HODAR,MALEM HODAR,TAWA KEUR ELHADJI,02,469,ECOLE CLASSE CM2
KAFFRINE,MALEM HODAR,MALEM HODAR,TAWA MOSQUÉE,01,451,ABRI PROVISOIRE
