Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
FATICK,GOSSAS,GOSSAS,ECOLE KEUR EL HADJ,01,570,CLASSE CM 2 A
FATICK,GOSSAS,GOSSAS,ECOLE KEUR EL HADJ,02,572,CLASSE CP A
FATICK,GOSSAS,GOSSAS,ECOLE OMAR GUEYE,01,513,CLASSE CM 1 B
FATICK,GOSSAS,GOSSAS,ECOLE OMAR GUEYE,02,517,SALLE DE CLASSE CE1 A
FATICK,GOSSAS,GOSSAS,ECOLE OMAR GUEYE,03,501,SALLE DE CLASSE CE1 B
FATICK,GOSSAS,GOSSAS,ECOLE OMAR GUEYE,04,381,SALLE INFORMATIQUE
FATICK,GOSSAS,GOSSAS,ECOLE SAMBA YOMBE GUILLE MBODJ,01,458,CLASSE CIB
FATICK,GOSSAS,GOSSAS,ECOLE SAMBA YOMBE GUILLE MBODJ,02,456,CLASSE CM 2 B
FATICK,GOSSAS,GOSSAS,ECOLE SAMBA YOMBE GUILLE MBODJ,03,458,SALLE DE CLASSE
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE BASSIROU MBACKE,01,565,CLASSE CP
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE BASSIROU MBACKE,02,564,CLASSE CE 2 A
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE BASSIROU MBACKE,03,566,CLASSE CM 2 A
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE BASSIROU MBACKE,04,564,SALLE DE CLASSE
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE SAM MBACKE,01,575,CLASSE CI
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE SAM MBACKE,02,576,CLASSE CP
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE THIERNO DIAW EX PAKHA,01,523,CLASSE CE 2
FATICK,GOSSAS,GOSSAS,ECOLE SERIGNE THIERNO DIAW EX PAKHA,02,524,CLASSE CE 1
