Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,01,591,CLASSE CE2 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,02,591,CLASSE CE2 B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,03,593,CLASSE CE2 C
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,04,592,CLASSE CM1 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,05,594,CLASSE CM1 B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,06,594,CLASSE CM1 C
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,07,593,CLASSE CM2 C
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,08,591,CLASSE CI A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,09,592,CLASSE CI B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,10,588,CLASSE CP A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,11,589,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,12,589,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,13,593,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,14,589,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,01,589,CLASSE CE1 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,02,588,CLASSE CE1 B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,03,591,CLASSE CE2 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,04,586,CLASSE CM1 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,05,589,CLASSE CE1 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,06,588,CLASSE CM2 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,07,588,CLASSE CP A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,08,584,CLASSE CE2 A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,09,587,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,10,582,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,11,587,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,01,576,CLASSE CM2 B ECOLE A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,02,575,CLASSE CM2 A ECOLE A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,03,568,CLASSE CM1 B ECOLE A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,04,576,CLASSE CM1 A ECOLE A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,05,576,CLASSE CE2 B ECOLE A
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,06,573,CLASSE CP B ECOLE B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,07,575,CLASSE CP A ECOLE B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,08,575,CLASSE CE1 A ECOLE B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,09,575,CLASSE CE1 B ECOLE B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,10,574,CLASSE CE2 A ECOLE B
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,11,575,CLASSE CIA
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,12,539,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,13,554,SALLE DE CLASSE
