Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
FATICK,GOSSAS,PATAR LIA,BANANE,01,361,SALLE DE CLASSE CM1 ECOLE ELEM
FATICK,GOSSAS,PATAR LIA,BOUNEFASSOW,01,234,SALLE DE CLASSE CP ECOLE ELEM
FATICK,GOSSAS,PATAR LIA,BOUSTANE KEUR AMADOU DIOP,01,419,ABRI PROVISOIRE
FATICK,GOSSAS,PATAR LIA,DIENDER 2,01,210,CLASSE CE 1 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,GOSSAS VILLAGE,01,339,CLASSE 1 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,GOSSAS VILLAGE,02,339,CLASSE CE2 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,KEUR MACODOU,01,214,CLASSE CP ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,KEUR MEDOUNE,01,341,CLASSE CE1 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,MBENGANE,01,312,CLASSE CE2 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,METH,01,100,ABRI PROVISOIRE
FATICK,GOSSAS,PATAR LIA,NDIABEL,01,410,CLASSE CP ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,NDOCK DIOUMA LEOUROU,01,305,CLASSE CE2 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,NDOCK SARE,01,530,CLASSE CM1 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,PATAR FISSEL,01,562,ABRI PROVISOIRE
FATICK,GOSSAS,PATAR LIA,PATAR LIA,01,374,CLASSE CM2 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,PATAR LIA,02,373,CLASSE CM1 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,PATAR LIA,03,375,CLASSE CE 2 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,SAKHMACK SERERE,01,245,CLASSE CM2 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,SOMB,01,429,CLASSE CM1 ECOLE ELEMENTAIRE
FATICK,GOSSAS,PATAR LIA,SOMB,02,428,CLASSE CM2 ECOLE ELEMENTAIRE
