Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KEDOUGOU,SARAYA,BEMBOU,BADIOULA,01,179,SALLE CLASSE CM1
KEDOUGOU,SARAYA,BEMBOU,BAITILAYE,01,72,SALLE CLASSE CP
KEDOUGOU,SARAYA,BEMBOU,BALORI,01,88,SALLE CLASSE CE
KEDOUGOU,SARAYA,BEMBOU,BAMBADJI,01,200,SALLE CLASSE CM
KEDOUGOU,SARAYA,BEMBOU,BARABIRI,01,166,SALLE CLASSE CP
KEDOUGOU,SARAYA,BEMBOU,BEMBOU,01,465,SALLE CLASSE CM
KEDOUGOU,SARAYA,BEMBOU,BEMBOU,02,262,SALLE DE CLASSE
KEDOUGOU,SARAYA,BEMBOU,DALAFING,01,272,SALLE CLASSE CM
KEDOUGOU,SARAYA,BEMBOU,DIAKHABA,01,520,SALLE DE CLASSE CM
KEDOUGOU,SARAYA,BEMBOU,DIAKHABA,02,102,SALLE DE CLASSE CE2
KEDOUGOU,SARAYA,BEMBOU,DIAKHA MADINA,01,283,SALLE CLASSE CE
KEDOUGOU,SARAYA,BEMBOU,DIOULAFOUNDOU,01,168,SALLE CLASSE CP
KEDOUGOU,SARAYA,BEMBOU,FARABA,01,191,SALLE CLASSE CE
KEDOUGOU,SARAYA,BEMBOU,GAREBOUREA,01,270,SALLE CLASSE CP
KEDOUGOU,SARAYA,BEMBOU,KONDOKHOU,01,442,SALLE CLASSE CM
KEDOUGOU,SARAYA,BEMBOU,MOUSSALA MAHINAMINE,01,255,SALLE CLASSE CE
KEDOUGOU,SARAYA,BEMBOU,NAFADJI,01,381,SALLE CLASSE CM
KEDOUGOU,SARAYA,BEMBOU,PONDALA,01,207,SALLE CLASSE CE
KEDOUGOU,SARAYA,BEMBOU,SAMEKHOTO,01,132,SALLE DE CLASSE CE2
KEDOUGOU,SARAYA,BEMBOU,SANELA,01,223,SALLE CLASSE CE
KEDOUGOU,SARAYA,BEMBOU,SANSAMBA,01,115,SALLE DE CLASSE CE2
