Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,PIKINE,PIKINE EST,CEM FADILOU DIOP,01,406,SALLE 02
DAKAR,PIKINE,PIKINE EST,CEM FADILOU DIOP,02,405,SALLE 04
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,01,552,CLASSE DE CI B
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,02,554,CLASSE DE CP B
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,03,554,CLASSE DE CE1B
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,04,561,CLASSE DE CE2B
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,05,568,CLASSE DE CM1B
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,06,556,CLASSE DE CM2 B
DAKAR,PIKINE,PIKINE EST,ECOLE 10 A,07,502,SALLE DE CLASSE
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,01,582,CLASSE DE CP B
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,02,579,CLASSE DE CE1 B
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,03,579,CLASSE DE CE2 B
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,04,578,CLASSE DE CM1 B
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,05,576,CLASSE DE CM2 B
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,06,579,CLASSE DE CP A
DAKAR,PIKINE,PIKINE EST,ECOLE 3 A,07,151,SALLE DE CLASSE
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,01,585,CLASSE DE CM2 B
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,02,577,CLASSE DECM1 B
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,03,579,CLASSE DE CE2 A
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,04,585,CLASSE DE CE1 B
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,05,584,CLASSE DE CP B
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,06,581,CLASSE DE CI B
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,07,584,CLASSE DE CI A
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,08,579,CLASSE DE CM2
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,09,578,SALLE DE CLASSE
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,10,578,SALLE DE CLASSE
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,11,578,SALLE DE CLASSE
DAKAR,PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,12,285,SALLE DE CLASSE
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,01,572,CLASSE DE CM2 B
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,02,571,CLASSE DE CM1 A
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,03,578,CLASSE DE CM1 B
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,04,569,CLASSE DE CE2 A
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,05,579,CLASSE DE CE2B
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,06,573,CLASSE DE CE1 A
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,07,580,CLASSE DE CP A
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,08,571,CLASSE DE CI A
DAKAR,PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,09,562,CLASSE DE CE1 A ANNEXE
