Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,KEBEMER,NDANDE,ANDOULAYE,01,436,ABRI PROVISOIRE
LOUGA,KEBEMER,NDANDE,ANDOULAYE,02,230,ABRI PROVISOIRE
LOUGA,KEBEMER,NDANDE,GATI RAT,01,394,ECOLE CLASSE CP
LOUGA,KEBEMER,NDANDE,GOUY MEO,01,271,CASE DE SANTE
LOUGA,KEBEMER,NDANDE,MBAYE DJIGNAKH,01,247,MAGASIN DE STOCKAGE CEREALIERE
LOUGA,KEBEMER,NDANDE,NDANDE,01,588,ECOLE NDANDE 1 CLASSE CE2 A
LOUGA,KEBEMER,NDANDE,NDANDE,02,586,ECOLE NDANDE 1 CLASSE CM1 A
LOUGA,KEBEMER,NDANDE,NDANDE,03,588,ECOLE NDANDE 1 CLASSE CP B
LOUGA,KEBEMER,NDANDE,NDANDE,04,588,MAISON COMMUNAUTAIRE
LOUGA,KEBEMER,NDANDE,NDANDE,05,589,ECOLE NDANDE 2 CLASSE CI B
LOUGA,KEBEMER,NDANDE,NDANDE,06,589,ECOLE NDANDE 3 CLASSE CM 2
LOUGA,KEBEMER,NDANDE,NDANDE,07,588,ECOLE NDANDE 3 CLASSE CI
LOUGA,KEBEMER,NDANDE,NDANDE,08,589,ECOLE NDANDE 1 SALLE CLASSE
LOUGA,KEBEMER,NDANDE,NDANDE,09,585,ECOLE NDANDE 2 CLASSE CIA
LOUGA,KEBEMER,NDANDE,NDANDE,10,585,ECOLE NDANDE 2 SALLE DE CLASSE
LOUGA,KEBEMER,NDANDE,NDIALENE,01,476,ECOLE CLASSE CP
LOUGA,KEBEMER,NDANDE,NDIALENE,02,475,ECOLE CLASSE CE 1
LOUGA,KEBEMER,NDANDE,NDIAYE BOUMI,01,298,ECOLE NDIAYE BOUMI CI
LOUGA,KEBEMER,NDANDE,NDIAYE THIORO,01,600,ECOLE CLASSE CM 2
LOUGA,KEBEMER,NDANDE,NDIONGUE FALL,01,454,ECOLE CLASSE CE 1
LOUGA,KEBEMER,NDANDE,NIOKHOUL MBIRAM,01,219,ECOLE CLASSE CP
LOUGA,KEBEMER,NDANDE,PALENE DED,01,501,ECOLE CLASSE CM 1
LOUGA,KEBEMER,NDANDE,PALMEO,01,595,ECOLE CLASSE CI
LOUGA,KEBEMER,NDANDE,PALMEO,02,594,ECOLE CLASSE CE 2
LOUGA,KEBEMER,NDANDE,SANTHIOU MOUR,01,435,ECOLE CLASSE CE 2
LOUGA,KEBEMER,NDANDE,THIEY THIEY,01,568,ECOLE CORANIQUE SALLE 1
LOUGA,KEBEMER,NDANDE,THIEY THIEY,02,81,ECOLE CORANIQUE SALLE 2
LOUGA,KEBEMER,NDANDE,THYLL,01,356,ECOLE FRANCO-ABARE CI
