Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,BOULOM,01,526,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,BOUTOUTE,01,486,CLASSE CE1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,BOUTOUTE,02,485,CLASSE CE2
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,BOUTOUTE,03,488,CLASSE CM2
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE DE BOUCOTTE MANCAGNE,01,562,CLASSE CE1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE DE BOUCOTTE MANCAGNE,02,66,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE DJIFANGHOR,01,343,CLASSE CE1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE DJIFANGHOR,02,343,CLASSE CM1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE FANDA,01,459,CLASSE CE2
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE FANDA,02,457,CLASSE CM1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE FANDA,03,457,CLASSE CM2
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,01,483,CLASSE CM1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,02,493,CLASSE CE2
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,03,486,CLASSE CE1
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,04,482,CLASSE CM2 A
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,05,483,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE NIAGUIS,06,483,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENTAIRE DE SONE,01,172,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENT DE MANDINA MANCAGNE,01,488,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE ELEMENT DE MANDINA MANCAGNE,02,361,CLASSE CE2
ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,ECOLE MATERNELLE DE DJIBELOR,01,305,SALLE DE CLASSE
