Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DIOURBEL,DIOURBEL,NDOULO,DAKAR MBAYARD,01,200,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,ECOLE ARABE NDOULO PEULH,01,128,SALLE 1
DIOURBEL,DIOURBEL,NDOULO,ECOLE MBEYE WOKANE,01,175,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,GORETTE,01,136,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,KHOKHE NGADIAGA,01,190,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,KHOULE,01,388,CLASSE CM2
DIOURBEL,DIOURBEL,NDOULO,MBAYENE,01,177,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,MERINA THIAKHO,01,129,CLASSE CE1
DIOURBEL,DIOURBEL,NDOULO,NDIOUFFENE WOKANE,01,247,CLASSE CM2
DIOURBEL,DIOURBEL,NDOULO,NDIOUFFENE WOKANE,02,247,CLASSE CE2
DIOURBEL,DIOURBEL,NDOULO,NDOULO,01,541,CLASSE CM2A
DIOURBEL,DIOURBEL,NDOULO,NDOULO,02,541,CLASSE CM2B
DIOURBEL,DIOURBEL,NDOULO,NDOULO,03,539,MAISON COMMUNAUTAIRE
DIOURBEL,DIOURBEL,NDOULO,NDOULO,04,539,CLASSE CP B
DIOURBEL,DIOURBEL,NDOULO,NGOUNDJODJE,01,494,CLASSE CP
DIOURBEL,DIOURBEL,NDOULO,NIANGHE,01,145,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,TAYRE OUOLOF,01,195,ABRI PROVISOIRE
DIOURBEL,DIOURBEL,NDOULO,THIOUTHIE WOKANE,01,515,CLASSE C E 2
