Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,KEBEMER,TOUBA MERINA,BARIDIAM,01,185,ECOLE AL AZAR SALLE 1
LOUGA,KEBEMER,TOUBA MERINA,KHOYOYE,01,368,ECOLE ELEMENTAIRE SALLE 1
LOUGA,KEBEMER,TOUBA MERINA,KOBA,01,183,MAGASIN STOCKAGE
LOUGA,KEBEMER,TOUBA MERINA,KOBARENE,01,120,BUREAU ANNEXE MAGASIN STOCKAGE
LOUGA,KEBEMER,TOUBA MERINA,NDELER,01,285,CASE DE SANTE
LOUGA,KEBEMER,TOUBA MERINA,THIDE,01,264,CASE DE SANTE
LOUGA,KEBEMER,TOUBA MERINA,TOUBA BELEL,01,294,ECOLE ELEMENTAIRE SALLE 1
LOUGA,KEBEMER,TOUBA MERINA,TOUBA MERINA,01,477,ECOLE ELEMENTAIRE CLASSE CP
LOUGA,KEBEMER,TOUBA MERINA,TOUBA MERINA,02,477,ECOLE ELEMENTAIRE CLASSE CE1
LOUGA,KEBEMER,TOUBA MERINA,TOUBA MERINA,03,477,ECOLE ELEMENTAIRE CLASSE CM1
