Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
FATICK,GOSSAS,COLOBANE,ARALDE DIABEL,01,130,SALLE DE CLASSE CI ECOLE
FATICK,GOSSAS,COLOBANE,BALOL ELIMANE DIAW,01,163,SALLE DE CLASSE CE 1 ECOLE
FATICK,GOSSAS,COLOBANE,BANE,01,214,SALLE DE CLASSE CP ECOLE
FATICK,GOSSAS,COLOBANE,BENE OUOLOF,01,288,SALLE DE CLASSE CE1 ECOLE
FATICK,GOSSAS,COLOBANE,BOUSTANE DIAO,01,416,SALLE DE CLASSE CI ECOLE
FATICK,GOSSAS,COLOBANE,COLOBANE,01,527,SALLE DE CLASSE CE 1 A ECOLE
FATICK,GOSSAS,COLOBANE,COLOBANE,02,526,SALLE DE CLASSE CE 1 B ECOLE
FATICK,GOSSAS,COLOBANE,COLOBANE,03,528,SALLE DE CLASSE CE 2 A ECOLE
FATICK,GOSSAS,COLOBANE,COLOBANE,04,522,SALLE DE CLASSE CM 1 A ECOLE
FATICK,GOSSAS,COLOBANE,COLOBANE,05,528,SALLE DE CLASSE CM 2 B ECOLE
FATICK,GOSSAS,COLOBANE,COLOBANE,06,528,SALLE DE CLASSE CP ECOLE ELEM
FATICK,GOSSAS,COLOBANE,DAROU NDIAYE,01,354,SALLE DE CLASSE CM 2 ECOLE
FATICK,GOSSAS,COLOBANE,DIABEL,01,344,SALLE DE CLASSE CE 1 ECOLE
FATICK,GOSSAS,COLOBANE,EDE,01,216,SALLE DE CLASSE CE 1 ECOLE
FATICK,GOSSAS,COLOBANE,GAYNA MBAR,01,343,SALLE DE CLASSE CE 1 ECOLE
FATICK,GOSSAS,COLOBANE,GAYNA MBAR,02,343,SLLE DE CLASSE CM 1 ECOLE
FATICK,GOSSAS,COLOBANE,KAEL MBOBA,01,265,SALLE DE CLASSE CM2 ECOLE
FATICK,GOSSAS,COLOBANE,KHARAGAINTH,01,154,SALLE DE CLASSE CP ECOLE
FATICK,GOSSAS,COLOBANE,KHAYANE,01,290,SALLE DE CLASSE CE1 ECOLE
FATICK,GOSSAS,COLOBANE,MEDINA MBOBA,01,197,SALLE DE CLASSE CP ECOLE
FATICK,GOSSAS,COLOBANE,MOURE,01,523,SALLE DE CLASSE CE 2 ECOLE
FATICK,GOSSAS,COLOBANE,NDAR GOUYE,01,77,SALLE DE CLASSE CE2 ECOLE
FATICK,GOSSAS,COLOBANE,NDIAYENE,01,345,SALLE DE CLASSE CE 2 ECOLE
FATICK,GOSSAS,COLOBANE,NGHAYE,01,279,SALLE DE CLASSE CI ECOLE
FATICK,GOSSAS,COLOBANE,OUROUR,01,109,ABRI PROVISOIRE
FATICK,GOSSAS,COLOBANE,SALOHE,01,186,ABRI PROVISOIRE
