Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
MATAM,KANEL,KANEL,CASE DES TOUT PETITS,01,516,GRANDE SALLE
MATAM,KANEL,KANEL,CASE DES TOUT PETITS,02,517,SALLE
MATAM,KANEL,KANEL,CEM DE KANEL,01,508,CLASSE ANATOLE FRANCE
MATAM,KANEL,KANEL,CEM DE KANEL,02,509,SALLE DE CLASSE
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 1,01,579,CLASSE CE1B
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 1,02,578,CLASSE CM1A
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 1,03,578,CLASSE CE2A
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 1,04,577,SALLE DE CLASSE
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 1,05,579,SALLE DE CLASSE
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 2,01,498,CLASSE CM1B
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 2,02,500,CLASSE CE1A
MATAM,KANEL,KANEL,ECOLE ELEMENTAIRE KANEL 2,03,312,SALLE DE CLASSE
MATAM,KANEL,KANEL,MAIRIE DE KANEL,01,545,SALLE DE CLASSE ECOLE 3
MATAM,KANEL,KANEL,MAIRIE DE KANEL,02,553,SALLE DE CLASSE ECOLE 3
MATAM,KANEL,KANEL,MAIRIE DE KANEL,03,390,SALLE DE CLASSE ECOLE 3
MATAM,KANEL,KANEL,MAIRIE DE KANEL,04,391,SALLE DE CLASSE ECOLE 3
