Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,01,536,CLASSE CP A
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,02,536,CLASSE CE1 A
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,03,535,CLASSE CM1 A
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,04,535,CLASSE SND S LYCEE BBG
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,05,534,CLASSE 1ERE S LYCEE BBG
DIOURBEL,BAMBEY,BABA GARAGE,DAROU BAKHOUM,01,383,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,DAROU NGUER,01,322,CLASSE CI
DIOURBEL,BAMBEY,BABA GARAGE,GNICK,01,410,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,01,556,CLASSE CE2
DIOURBEL,BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,02,75,SALLE DE CLASSE
DIOURBEL,BAMBEY,BABA GARAGE,KHAYE NDIAYE,01,316,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,MBAKHE,01,243,CLASSE CM2
DIOURBEL,BAMBEY,BABA GARAGE,NDARY DIOP,01,536,CLASSE CM1
DIOURBEL,BAMBEY,BABA GARAGE,NDIABY,01,275,CLASSE CP
DIOURBEL,BAMBEY,BABA GARAGE,NDIEULBER 1,01,278,SALLE DE CLASSE CE1/CM1
DIOURBEL,BAMBEY,BABA GARAGE,NDIOBEL,01,376,CLASSE CI
DIOURBEL,BAMBEY,BABA GARAGE,SAM-SAM,01,432,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,TAWA FALL,01,417,CLASSE CM1
DIOURBEL,BAMBEY,BABA GARAGE,TAWA FALL,02,416,CLASSE CE2
DIOURBEL,BAMBEY,BABA GARAGE,THIEUL FANAYE,01,355,CLASSE CM1
