Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
LOUGA,LOUGA,NGUIDILE,DAGATHIE SAR,01,354,MAGASIN
LOUGA,LOUGA,NGUIDILE,DAGATHIE SAR,02,354,CLASSE CE1
LOUGA,LOUGA,NGUIDILE,DIELERLOU SYLL,01,594,CLASSE CE1 A
LOUGA,LOUGA,NGUIDILE,DIELERLOU SYLL,02,593,CLASSE CE2
LOUGA,LOUGA,NGUIDILE,ECOLE ELEMENTAIRE BADEM NIANE,01,259,CLASSE CP
LOUGA,LOUGA,NGUIDILE,ECOLE ELEMENTAIRE MBAROM DIOP,01,340,SALLE DE CLASSE
LOUGA,LOUGA,NGUIDILE,ECOLE ELEMENTAIRE NDJIMBI SECK,01,404,CLASSE CM1
LOUGA,LOUGA,NGUIDILE,ECOLE ELEMENTAIRE NIAKHAL PEULH,01,246,CLASSE CP
LOUGA,LOUGA,NGUIDILE,ECOLE NDAM KEUR MODOU FATMA,01,552,SALLE DE CLASSE
LOUGA,LOUGA,NGUIDILE,ECOLE NDAM KEUR MODOU FATMA,02,77,SALLE DE CLASSE 2
LOUGA,LOUGA,NGUIDILE,KEBE NDEUKTA,01,591,CLASSE CI
LOUGA,LOUGA,NGUIDILE,KEBE NDEUKTA 2,01,78,CLASSE CE2
LOUGA,LOUGA,NGUIDILE,KEUR AMADOU KHARY MBOUP,01,369,CLASSE CI
LOUGA,LOUGA,NGUIDILE,KEUR MAYP GUEYE,01,130,CLASSE CI
LOUGA,LOUGA,NGUIDILE,KEUR MAYP GUEYE,02,129,SALLE DE CLASSE
LOUGA,LOUGA,NGUIDILE,KEUR MBARICK,01,412,CLASSE CM2
LOUGA,LOUGA,NGUIDILE,KEUR SAER GUEYE,01,304,CLASSE CM1
LOUGA,LOUGA,NGUIDILE,MAKA BRAGUEYE 1,01,589,CLASSE CP
LOUGA,LOUGA,NGUIDILE,MAKA BRAGUEYE 2,01,219,MAGASIN
LOUGA,LOUGA,NGUIDILE,NDAM KEUR MODOU KHARI,01,505,CLASSE CI
LOUGA,LOUGA,NGUIDILE,NDIAGNE MEDOUNE,01,205,SALLE ECOLE ARABE
LOUGA,LOUGA,NGUIDILE,NDIANG FALL,01,397,CLASSE CE1
LOUGA,LOUGA,NGUIDILE,NDIOMENE SAMB,01,374,CLASSE CM2
LOUGA,LOUGA,NGUIDILE,NGUIDILE,01,563,CLASSE CM1A
LOUGA,LOUGA,NGUIDILE,NGUIDILE,02,555,CLASSE CM1 BILINGUE
LOUGA,LOUGA,NGUIDILE,NGUIDILE,03,512,CLASSE CE1 A
