Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,01,494,BLOC A SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,02,492,BLOC A SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,03,490,BLOC A SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,04,491,BLOC B SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,05,480,BLOC B SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,06,494,BLOC B SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,07,487,BLOC C SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,08,484,BLOC C SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,09,493,BLOC D SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,01,600,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,02,593,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,03,596,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,04,598,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,05,592,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,06,598,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,07,600,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,08,600,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,09,600,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,10,595,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,11,601,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,12,238,SALLE DE CLASSE
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,01,578,CLASSE CI B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,02,576,CLASSE CPA
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,03,576,CLASSE CP B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,04,574,CLASSE CE1 A
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,05,578,CLASSE CE1 B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,06,578,CLASSE CE1 C
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,07,575,CLASSE CE2 A
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,08,575,CLASSE CE2 B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,09,576,CLASSE CM 1 A
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,10,576,CLASSE CM 1 B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,11,574,CLASSE CM 2 A
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,12,577,CLASSE CM 2 B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,13,577,CLASSE CM 1 C
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,14,575,ECOLE CITE FASS MBAO CE1 A
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,15,578,ECOLE CITE FASS MBAO CE1 B
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,16,574,ECOLE CITE FASS MBAO CE2 A
DAKAR,PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,17,574,ECOLE CITE FASS MBAO CE2 B
