Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DIOURBEL,MBACKE,TOUBA MBOUL,DIAORE COUTA,01,366,CLASSE CM1
DIOURBEL,MBACKE,TOUBA MBOUL,DIAWE SERERE,01,241,CLASSE CM1
DIOURBEL,MBACKE,TOUBA MBOUL,ECOLE KEUR MADIOP SERERE,01,463,SALLE DE CLASSE
DIOURBEL,MBACKE,TOUBA MBOUL,KAMADOU,01,417,CLASSE CE1
DIOURBEL,MBACKE,TOUBA MBOUL,MAGASIN PUBLIQUE SEO TOURE,01,313,SALLE 2
DIOURBEL,MBACKE,TOUBA MBOUL,NDOYENE,01,399,CLASSE CP
DIOURBEL,MBACKE,TOUBA MBOUL,PATHIEME 1,01,393,CLASSE CP
DIOURBEL,MBACKE,TOUBA MBOUL,TOUBA MBOUL,01,431,CLASSE CI
DIOURBEL,MBACKE,TOUBA MBOUL,TOUBA MBOUL,02,431,CLASSE CE2
DIOURBEL,MBACKE,TOUBA MBOUL,TOUBA MBOUL,03,432,CLASSE CM2
