Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KEDOUGOU,KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,01,583,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,02,204,CLASSE CE1
KEDOUGOU,KEDOUGOU,DIMBOLI,BARA,01,225,ABRI PROVISOIRE
KEDOUGOU,KEDOUGOU,DIMBOLI,DIALAYA 2,01,177,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,DIAN HERI,01,188,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,DIMBOLI,01,256,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,DIMBOLI,02,255,CLASSE CE2
KEDOUGOU,KEDOUGOU,DIMBOLI,ECOLE BAMBAYA,01,165,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,KAFORI,01,226,CLASSE CM2
KEDOUGOU,KEDOUGOU,DIMBOLI,KAFORI,02,226,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,MALINDA,01,271,CLASSE CM1
KEDOUGOU,KEDOUGOU,DIMBOLI,MALLEME,01,190,CLASSE CE2
KEDOUGOU,KEDOUGOU,DIMBOLI,VELINGARA,01,216,CLASSE CM1
