Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,01,591,SALLE MATERNELLE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,02,589,CLASSE CIA
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,03,590,CLASSE CI B
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,04,595,CLASSE CP
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,05,595,CLASSE CE1
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,06,591,CLASSE CE2
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,07,591,CLASSE CE2B
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,08,593,CLASSE CM1A
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,09,594,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,10,592,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,11,595,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,12,592,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,13,593,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,14,594,SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,01,558,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,02,548,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,03,560,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,04,550,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,05,555,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,06,550,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,07,556,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,08,559,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,09,559,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,10,562,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,11,552,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,12,554,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,13,559,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,14,558,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,15,563,ABRI PROVISOIRE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,01,574,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,02,577,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,03,578,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,04,579,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,05,577,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,06,581,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,07,580,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,08,581,ECOLE GOUNASS 2 SALLE DE CLASSE
DAKAR,GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,09,578,ECOLE GOUNASS 2 SALLE DE CLASSE
