Region,Departement,Commune,Lieu de vote,Bureau,Electeurs,Implantation
KAOLACK,GUINGUINEO,PANAL WOLOF,AYNOUMANE MEDINA,01,93,ECOLE ARABE
KAOLACK,GUINGUINEO,PANAL WOLOF,DIACK SAO KOUTA,01,228,ECOLE SALLE 1
KAOLACK,GUINGUINEO,PANAL WOLOF,DIAMVELI MOR,01,240,ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,PANAL WOLOF,DIATMEL SAER,01,295,ECOLE SALLE 1
KAOLACK,GUINGUINEO,PANAL WOLOF,MBOSS BALLO OUOLOFF,01,246,ECOLE PUBLIQUE SALLE N1
KAOLACK,GUINGUINEO,PANAL WOLOF,MBOULOGNE DIAVANDO,01,347,ECOLE ARABE SALLE 1
KAOLACK,GUINGUINEO,PANAL WOLOF,MBOULOGNE MADEMBA,01,198,BUREAU ASUFOR
KAOLACK,GUINGUINEO,PANAL WOLOF,MBOULOGNE SENO OUOLOF,01,197,ECOLE ELEMENTAIRE
KAOLACK,GUINGUINEO,PANAL WOLOF,PANAL,01,376,ECOLE SALLE 1
KAOLACK,GUINGUINEO,PANAL WOLOF,PANAL SERERE,01,187,ECOLE ARABE
KAOLACK,GUINGUINEO,PANAL WOLOF,PANAL THIARENE,01,419,ECOLE ARABE
KAOLACK,GUINGUINEO,PANAL WOLOF,SANTHIOU THIENEBA,01,213,ECOLE ARABE
